"","model_label","model_code","ref_label","ref_percent","bps_name","current_percent"
"136","10640_15_16_17_23_24_27_28_Agriculture","10640_15_16_17_23_24_27_28","Agriculture",0,"Colorado Plateau Mixed Low Sagebrush Shrubland",5
"137","10640_15_16_17_23_24_27_28_Developed","10640_15_16_17_23_24_27_28","Developed",0,"Colorado Plateau Mixed Low Sagebrush Shrubland",2
"138","10640_15_16_17_23_24_27_28_Water","10640_15_16_17_23_24_27_28","Water",0,"Colorado Plateau Mixed Low Sagebrush Shrubland",0
"139","10640_15_16_17_23_24_27_28_UN","10640_15_16_17_23_24_27_28","UN",0,"Colorado Plateau Mixed Low Sagebrush Shrubland",0
"140","10640_15_16_17_23_24_27_28_UE","10640_15_16_17_23_24_27_28","UE",0,"Colorado Plateau Mixed Low Sagebrush Shrubland",1
"141","10801_21_22_28_A","10801_21_22_28","A",19,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",30
"142","10801_21_22_28_B","10801_21_22_28","B",36,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",11
"143","10801_21_22_28_C","10801_21_22_28","C",45,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",30
"144","10801_21_22_28_D","10801_21_22_28","D",NA,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",0
"145","10801_21_22_28_E","10801_21_22_28","E",NA,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",0
"146","10801_21_22_28_Agriculture","10801_21_22_28","Agriculture",0,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",0
"147","10801_21_22_28_Developed","10801_21_22_28","Developed",0,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",0
"148","10801_21_22_28_Water","10801_21_22_28","Water",0,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",0
"149","10801_21_22_28_UN","10801_21_22_28","UN",0,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",26
"150","10801_21_22_28_UE","10801_21_22_28","UE",0,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",0
"151","10810_15_16_23_24_28_A","10810_15_16_23_24_28","A",22,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"152","10810_15_16_23_24_28_B","10810_15_16_23_24_28","B",47,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"153","10810_15_16_23_24_28_C","10810_15_16_23_24_28","C",31,"Inter-Mountain Basins Mixed Salt Desert Scrub",11
"154","10810_15_16_23_24_28_D","10810_15_16_23_24_28","D",NA,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"155","10810_15_16_23_24_28_E","10810_15_16_23_24_28","E",NA,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"156","10810_15_16_23_24_28_Agriculture","10810_15_16_23_24_28","Agriculture",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"157","10810_15_16_23_24_28_Developed","10810_15_16_23_24_28","Developed",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",2
"158","10810_15_16_23_24_28_Water","10810_15_16_23_24_28","Water",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"159","10810_15_16_23_24_28_UN","10810_15_16_23_24_28","UN",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",85
"160","10810_15_16_23_24_28_UE","10810_15_16_23_24_28","UE",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"161","10810_27_33_A","10810_27_33","A",4,"Inter-Mountain Basins Mixed Salt Desert Scrub",1
"162","10810_27_33_B","10810_27_33","B",60,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"163","10810_27_33_C","10810_27_33","C",36,"Inter-Mountain Basins Mixed Salt Desert Scrub",6
"164","10810_27_33_D","10810_27_33","D",NA,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"165","10810_27_33_E","10810_27_33","E",NA,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"166","10810_27_33_Agriculture","10810_27_33","Agriculture",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"167","10810_27_33_Developed","10810_27_33","Developed",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",2
"168","10810_27_33_Water","10810_27_33","Water",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"169","10810_27_33_UN","10810_27_33","UN",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",88
"170","10810_27_33_UE","10810_27_33","UE",0,"Inter-Mountain Basins Mixed Salt Desert Scrub",0
"171","10860_27_31_33_A","10860_27_31_33","A",17,"Rocky Mountain Lower Montane-Foothill Shrubland",83
"172","10860_27_31_33_B","10860_27_31_33","B",21,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"173","10860_27_31_33_C","10860_27_31_33","C",62,"Rocky Mountain Lower Montane-Foothill Shrubland",5
"174","10860_27_31_33_D","10860_27_31_33","D",NA,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"175","10860_27_31_33_E","10860_27_31_33","E",NA,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"176","10860_27_31_33_Agriculture","10860_27_31_33","Agriculture",0,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"177","10860_27_31_33_Developed","10860_27_31_33","Developed",0,"Rocky Mountain Lower Montane-Foothill Shrubland",2
"178","10860_27_31_33_Water","10860_27_31_33","Water",0,"Rocky Mountain Lower Montane-Foothill Shrubland",0
