"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"151",337,233167,35862323,"Herb Cover = 37%",111,184,170,0.435294118,0.721568627,0.666666667,51855,1
"152",338,319323,42373587,"Herb Cover = 38%",108,183,168,0.423529412,0.717647059,0.658823529,71016,1.4
"153",339,6226,9094270,"Herb Cover = 39%",104,181,166,0.407843137,0.709803922,0.650980392,1385,0
"154",340,435116,43249375,"Herb Cover = 40%",101,179,164,0.396078431,0.701960784,0.643137255,96767,1.9
"155",341,572286,37605691,"Herb Cover = 41%",97,178,162,0.380392157,0.698039216,0.635294118,127273,2.5
"156",342,732815,44578721,"Herb Cover = 42%",94,176,160,0.368627451,0.690196078,0.62745098,162974,3.2
"157",343,908146,46955429,"Herb Cover = 43%",91,174,158,0.356862745,0.682352941,0.619607843,201967,4
"158",344,1090387,50023473,"Herb Cover = 44%",87,173,156,0.341176471,0.678431373,0.611764706,242496,4.8
"159",345,93226,22290833,"Herb Cover = 45%",84,171,154,0.329411765,0.670588235,0.603921569,20733,0.4
"160",346,1288768,54216771,"Herb Cover = 46%",80,169,152,0.31372549,0.662745098,0.596078431,286615,5.7
"161",347,1401389,53469325,"Herb Cover = 47%",77,168,150,0.301960784,0.658823529,0.588235294,311661,6.2
"162",348,1446049,55173133,"Herb Cover = 48%",73,166,148,0.28627451,0.650980392,0.580392157,321594,6.4
"163",349,1413312,56267676,"Herb Cover = 49%",70,164,146,0.274509804,0.643137255,0.57254902,314313,6.2
"164",350,1324160,54396823,"Herb Cover = 50%",66,163,144,0.258823529,0.639215686,0.564705882,294486,5.8
"165",351,40224,18608296,"Herb Cover = 51%",63,161,142,0.247058824,0.631372549,0.556862745,8946,0.2
"166",352,1183237,57078608,"Herb Cover = 52%",60,159,140,0.235294118,0.623529412,0.549019608,263146,5.2
"167",353,1059653,53227170,"Herb Cover = 53%",56,158,138,0.219607843,0.619607843,0.541176471,235661,4.7
"168",354,920605,52182257,"Herb Cover = 54%",53,156,136,0.207843137,0.611764706,0.533333333,204738,4
"169",355,772098,389424507,"Herb Cover = 55%",49,154,134,0.192156863,0.603921569,0.525490196,171710,3.4
"170",356,616138,49731921,"Herb Cover = 56%",46,152,132,0.180392157,0.596078431,0.517647059,137026,2.7
"171",357,3879,19484636,"Herb Cover = 57%",42,151,130,0.164705882,0.592156863,0.509803922,863,0
"172",358,472397,47124967,"Herb Cover = 58%",39,149,128,0.152941176,0.584313725,0.501960784,105059,2.1
"173",359,343849,43364996,"Herb Cover = 59%",36,147,126,0.141176471,0.576470588,0.494117647,76470,1.5
"174",360,241032,42643331,"Herb Cover = 60%",32,146,124,0.125490196,0.57254902,0.48627451,53604,1.1
"175",361,160891,39712972,"Herb Cover = 61%",29,144,122,0.11372549,0.564705882,0.478431373,35781,0.7
"176",362,101231,37216255,"Herb Cover = 62%",25,142,120,0.098039216,0.556862745,0.470588235,22513,0.4
"177",363,681,14131015,"Herb Cover = 63%",22,141,118,0.08627451,0.552941176,0.462745098,151,0
"178",364,61196,43633391,"Herb Cover = 64%",18,139,116,0.070588235,0.545098039,0.454901961,13610,0.3
"179",365,85833,41519172,"Herb Cover = 65%",15,137,114,0.058823529,0.537254902,0.447058824,19089,0.4
"180",366,3978,28705674,"Herb Cover = 66%",11,136,112,0.043137255,0.533333333,0.439215686,885,0
"181",367,3361,20716645,"Herb Cover = 67%",8,134,110,0.031372549,0.525490196,0.431372549,747,0
"182",368,2525,25520215,"Herb Cover = 68%",5,132,108,0.019607843,0.517647059,0.423529412,562,0
"183",369,76,13925292,"Herb Cover = 69%",1,131,106,0.003921569,0.51372549,0.415686275,17,0
"184",370,2085,22737504,"Herb Cover = 70%",0,130,106,0,0.509803922,0.415686275,464,0
"185",371,1722,21027218,"Herb Cover = 71%",0,129,108,0,0.505882353,0.423529412,383,0
"186",372,1418,18510206,"Herb Cover = 72%",0,128,110,0,0.501960784,0.431372549,315,0
"187",373,1128,12186051,"Herb Cover = 73%",0,128,111,0,0.501960784,0.435294118,251,0
"188",374,1677,15868706,"Herb Cover = 74%",0,127,113,0,0.498039216,0.443137255,373,0
"189",376,626,13129414,"Herb Cover = 76%",0,126,117,0,0.494117647,0.458823529,139,0
"190",377,1013,7933428,"Herb Cover = 77%",0,125,118,0,0.490196078,0.462745098,225,0
"191",378,371,11032212,"Herb Cover = 78%",0,124,120,0,0.48627451,0.470588235,83,0
"192",379,288,10456203,"Herb Cover = 79%",0,123,122,0,0.482352941,0.478431373,64,0
"193",380,280,7036223,"Herb Cover = 80%",0,123,124,0,0.482352941,0.48627451,62,0
"194",382,596,5806532,"Herb Cover = 82%",0,121,127,0,0.474509804,0.498039216,133,0
"195",383,18,2627476,"Herb Cover = 83%",0,121,129,0,0.474509804,0.505882353,4,0
"196",384,16,4788547,"Herb Cover = 84%",0,121,131,0,0.474509804,0.51372549,4,0
"197",385,8,3587474,"Herb Cover = 85%",0,118,129,0,0.462745098,0.505882353,2,0
"198",386,7,2257218,"Herb Cover = 86%",0,115,126,0,0.450980392,0.494117647,2,0
"199",388,1,1915316,"Herb Cover = 88%",0,110,120,0,0.431372549,0.470588235,0,0
"200",389,1,1325027,"Herb Cover = 89%",0,107,117,0,0.419607843,0.458823529,0,0
